cell_id,CD3D,CD3E,TRAC,IL7R,CCR7,GZMB,NKG7,PDCD1,LAG3,MS4A1,CD79A,CD79B,BANK1,MZB1,XBP1,JCHAIN,LYZ,LST1,S100A8,S100A9,FCN1,IL1B,TNF,MKI67,TOP2A,STMN1,ACTB,GAPDH,RPLP0,B2M,MALAT1
Cell_0013,6,7,5,3,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,2
Cell_0014,2,5,5,6,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,3,0
Cell_0015,5,1,6,9,6,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,3,1
Cell_0016,4,7,5,13,4,0,1,2,0,0,1,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,1,2,1
Cell_0017,4,5,5,6,8,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,2,1
Cell_0018,5,7,8,6,8,1,0,1,0,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,2,1,1
Cell_0019,5,10,4,6,5,0,1,0,0,2,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,3,3,5,3,2
Cell_0020,9,4,3,3,6,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,3,3,1,1,1
Cell_0021,5,7,8,3,7,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,2,0,5,1,1
Cell_0022,14,9,6,4,2,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1
Cell_0023,5,8,7,8,8,2,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,2,0,2,0,0
Cell_0024,8,7,10,7,8,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,3,4,2,1,2
Cell_0025,2,3,2,0,6,1,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2
Cell_0026,14,11,14,8,10,0,0,5,0,2,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,2,2,3,5,4
Cell_0027,8,3,6,3,5,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2
Cell_0028,7,3,5,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,2
Cell_0029,7,8,3,4,6,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,3,1,3
Cell_0030,5,6,7,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,1,2,1,1,1
Cell_0031,7,6,4,6,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,4,2,2,5,2
Cell_0032,7,11,10,7,8,2,2,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,1,0,0,2,0,2,1,3
Cell_0033,4,1,5,5,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,2,1,0,0,1,0,0,1,0
Cell_0034,10,7,4,3,2,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,4
Cell_0035,4,4,3,2,2,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0
Cell_0036,1,2,6,5,1,1,1,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,4,0
Cell_0037,4,12,6,10,8,0,1,1,1,1,0,1,2,0,1,0,0,0,1,0,2,0,0,0,0,0,3,2,2,7,1
Cell_0038,12,13,7,10,11,0,2,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,1,0,0,3,4,2,2,2
Cell_0039,5,2,6,1,4,0,0,2,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,2,1,0,1,0
Cell_0040,9,5,8,7,4,0,1,1,0,0,0,1,2,0,2,0,0,0,1,0,0,0,1,0,0,0,3,4,0,2,2
Cell_0041,1,5,2,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
Cell_0042,7,4,4,2,7,1,1,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2,3,1
Cell_0043,8,3,4,8,5,1,1,1,0,1,0,1,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,4,2,3
Cell_0044,14,4,3,6,7,1,2,1,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,5,2,2,1,0
Cell_0045,9,5,10,10,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,2,2,3,1,2
Cell_0046,1,4,4,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,4,1,1,2
Cell_0047,7,6,6,4,12,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,4,1
Cell_0048,11,11,10,6,6,1,0,1,0,2,0,1,3,0,1,0,0,0,0,0,0,0,0,2,0,0,5,3,3,2,3
Cell_0049,5,6,5,7,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,0,0,2
Cell_0050,4,3,3,4,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,3,1,1
Cell_0051,7,4,8,2,6,2,1,2,0,2,0,2,1,0,1,0,0,0,1,1,0,0,3,0,0,0,0,4,1,2,0
Cell_0052,5,1,4,5,8,2,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0
Cell_0053,4,1,4,4,3,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,4,2,0,2,1
Cell_0054,3,4,1,5,5,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,2,0
Cell_0055,7,2,7,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3,1,2
Cell_0056,3,4,0,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,1,2,2,0
Cell_0057,6,9,5,5,4,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,2,1,0,0,2,1,0,2,1
Cell_0058,7,2,5,5,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,5,1,0,3
Cell_0059,3,6,5,4,3,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0
Cell_0060,1,2,4,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Cell_0061,9,6,12,12,2,0,1,2,1,2,0,1,2,0,1,0,0,0,2,0,0,0,2,1,0,0,4,2,3,3,4
Cell_0062,4,4,4,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,1,1
Cell_0063,6,6,4,6,4,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1
Cell_0064,0,2,3,4,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1
Cell_0065,11,2,8,6,6,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,2,6
Cell_0066,4,8,7,3,7,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,1,0,2,0,0,0,2,2,1,1,1
Cell_0067,3,3,10,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2
Cell_0068,5,3,7,5,10,1,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1
Cell_0069,6,7,8,4,12,2,0,5,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,2,2,1,1,2
Cell_0070,7,4,4,9,4,2,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2
Cell_0071,8,7,3,7,5,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,1,3,1,1,2
Cell_0072,4,4,3,5,9,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,1,2
Cell_0073,4,2,4,6,3,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,1,0,0
Cell_0074,7,3,2,5,6,2,0,1,0,2,0,0,1,0,1,0,0,1,0,1,1,0,2,0,3,0,2,1,1,0,0
Cell_0075,10,5,12,5,10,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,4,0,3
Cell_0076,5,5,6,4,6,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,3,1,2
Cell_0077,5,4,7,2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,2,1,0,2,0
Cell_0078,9,2,7,2,6,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Cell_0079,9,4,6,3,4,1,0,3,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,1,0,2,0,1,0,1
Cell_0080,7,4,11,2,10,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1,1,1
Cell_0081,4,4,4,3,6,0,0,2,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,1,0,0,2,1,0,1,1
Cell_0082,5,5,11,4,6,2,1,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2,3,4,1,2
Cell_0083,9,8,10,7,4,1,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,6,2,3,2
Cell_0084,7,9,1,5,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0
Cell_0085,4,6,9,7,7,1,1,3,0,1,0,1,4,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,1,2
Cell_0086,5,6,4,5,6,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,2,2,0,2,3
Cell_0087,6,4,4,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0
Cell_0088,5,8,9,8,5,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,4,2
Cell_0089,8,10,8,5,4,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,2,6,4
Cell_0090,7,11,6,10,5,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,2,4,4,3,0
Cell_0091,2,5,8,2,3,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,2,2,1
Cell_0092,6,4,7,1,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,1,1,0,1
Cell_0093,12,11,4,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,3,1,2,1
Cell_0094,5,10,16,7,8,0,2,4,0,0,0,2,1,0,0,0,0,0,2,1,1,1,1,0,1,0,2,2,4,0,5
Cell_0095,7,6,5,1,5,0,1,3,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,4,3
Cell_0096,6,9,5,8,4,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,2,2,1,5
Cell_0097,1,1,9,6,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
Cell_0098,4,10,9,3,7,2,0,5,0,0,0,2,4,0,3,0,0,0,0,0,2,0,0,0,0,0,2,5,0,4,4
Cell_0099,6,10,9,9,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,2
Cell_0100,4,5,3,8,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,2,2,2,1
Cell_0101,4,6,2,4,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,1,0
Cell_0102,4,3,3,3,5,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,3,0,1,0,1,0,4,3,3,1,0
Cell_0103,5,5,11,6,7,0,1,1,0,4,0,4,4,1,1,0,0,0,0,1,1,0,2,2,1,0,1,2,2,2,1
Cell_0104,7,6,14,8,4,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,3,2,2
Cell_0105,9,11,5,5,5,3,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,1,0,2,3,1,4,1
Cell_0106,7,8,7,5,8,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,1,0,0,3,3,2,1,0
Cell_0107,6,4,6,6,7,1,2,3,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,3,0,0,1,1,1,2,1
Cell_0108,4,9,7,4,10,2,1,1,0,3,0,0,3,0,1,1,0,0,1,0,1,0,1,1,0,0,1,2,2,0,1
Cell_0109,12,4,5,1,7,0,1,2,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,2,4,1,0
Cell_0110,5,2,13,7,11,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,2,1,1,0
Cell_0111,8,5,1,4,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,5,3
Cell_0112,5,1,5,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,0,1,2
Cell_0113,10,6,9,6,10,1,1,1,0,0,0,0,0,0,1,0,0,1,1,2,2,1,0,1,2,1,1,1,2,2,1
Cell_0114,9,6,5,5,3,0,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,1
Cell_0115,4,7,6,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,4
Cell_0116,2,2,8,1,4,0,1,0,0,1,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
Cell_0117,11,10,7,2,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,1,3,5,1
Cell_0118,4,7,4,3,6,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,3,1,1,0,1
Cell_0119,5,7,1,7,6,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,2,3,1,4
Cell_0120,8,7,5,4,9,2,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,4,3,4,0,2
Cell_0121,11,6,6,11,6,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3,2,1
Cell_0122,5,2,2,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1
Cell_0123,8,9,7,11,11,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,4,2,1
Cell_0124,6,4,9,1,3,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,2
Cell_0125,11,6,3,2,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,2,1,2
Cell_0126,3,12,8,5,7,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,2,3,1
Cell_0127,1,0,7,7,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
Cell_0128,7,6,5,10,8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,2,0,2,1
Cell_0129,10,2,9,5,11,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,1,0,0,2,3,3,6,3
Cell_0130,4,1,3,6,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,0
Cell_0131,6,6,3,2,6,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,4,2,1,1
Cell_0132,5,1,5,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0
Cell_0133,3,0,4,1,8,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,2
Cell_0134,8,2,10,3,3,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,2
Cell_0135,3,8,12,7,7,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,4,1,0,4,3
Cell_0136,4,5,5,5,4,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,2,2
Cell_0137,4,9,8,6,5,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,5,0,4
Cell_0138,14,8,15,8,7,0,0,4,0,1,0,0,4,1,2,0,0,0,1,0,2,0,1,1,0,1,5,2,1,2,0
Cell_0139,8,8,5,3,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,1,3
Cell_0140,8,5,5,6,4,1,2,1,0,2,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,2,3,1,2,4
Cell_0141,4,6,3,2,4,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,2,5,2,5,2
Cell_0142,3,7,2,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,1,2,1,1,3
Cell_0143,5,15,6,5,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,2,3
Cell_0144,5,8,5,3,8,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,1,1,4,3,1,2
Cell_0145,6,4,3,3,7,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,2,1,0,0,2,1,3,1,0
Cell_0146,7,4,5,3,3,1,2,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,0,1,0,0,1,0,2,3,2
Cell_0147,6,4,3,3,3,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1
Cell_0148,11,6,4,9,4,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,3,3
Cell_0149,1,1,6,5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,2
Cell_0150,4,4,8,5,6,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,3,0,0,0,2,1,1,1,1
Cell_0151,5,1,6,5,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,2,4,3
Cell_0152,5,6,4,6,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,2
Cell_0153,8,11,5,5,2,1,1,2,0,0,0,0,2,0,2,0,0,0,1,0,2,0,1,2,2,0,2,3,3,1,1
Cell_0154,7,8,2,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,2,1
Cell_0155,11,10,11,5,4,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
Cell_0156,6,5,3,6,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,2,0,0
Cell_0157,6,7,4,5,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1
Cell_0158,8,12,8,5,4,0,1,3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,2
Cell_0159,4,6,1,6,7,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3
Cell_0160,6,11,2,0,1,8,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,5,3,3,2,2,1,4,3
Cell_0161,1,3,5,0,0,6,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,3,1,1,4,1,3,0,3
Cell_0162,4,8,4,0,0,4,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,6,2,3,3,0,0,2,2
Cell_0163,4,3,2,0,0,5,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,4,1,2,0,0,3
Cell_0164,10,6,6,0,0,4,9,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,3
Cell_0165,3,3,2,0,0,3,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,0,2,2,2
Cell_0166,9,8,10,0,0,5,3,0,0,0,2,1,0,2,1,0,0,0,0,1,0,0,2,9,5,3,4,2,1,1,2
Cell_0167,6,4,5,0,1,6,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,3,6,1,1,2,3,3
Cell_0168,5,11,9,0,0,12,3,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,11,7,5,3,1,1,2,1
Cell_0169,2,14,6,0,0,6,7,0,1,3,1,1,0,0,0,2,0,0,0,0,0,0,0,5,6,1,0,2,3,4,3
Cell_0170,5,4,3,1,0,8,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,1,2,2,2,1,2,2
Cell_0171,8,7,5,0,0,5,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,4,1,0,3
Cell_0172,7,4,7,0,0,2,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5,4,0,0,1
Cell_0173,3,5,5,0,1,3,9,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,5,3,3,3,1,0,1
Cell_0174,6,6,4,0,0,4,3,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,4,4,2,2,1,2,2,4
Cell_0175,3,4,7,1,0,4,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,6,6,1,2,2,2,1,1
Cell_0176,1,6,2,1,0,4,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,3,3,1,3,2,0
Cell_0177,4,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,4,2,2,2,4
Cell_0178,13,10,14,1,0,9,8,0,0,2,2,2,0,0,3,1,0,0,0,0,0,0,0,13,6,7,3,3,6,3,3
Cell_0179,9,6,4,0,0,2,4,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,2,3,2,8,2,2,3,2,2
Cell_0180,7,6,2,0,0,3,5,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,6,4,6,3,0,2,2,2
Cell_0181,12,8,4,0,0,7,10,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2,14,8,10,4,4,4,5,4
Cell_0182,13,5,3,1,0,2,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,3,1,0,5,7
Cell_0183,6,3,7,0,0,8,2,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,4,3,1,3,2,2,1
Cell_0184,3,9,2,0,1,3,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,4,1,0,3,0,2,1,1
Cell_0185,6,6,9,0,0,7,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,6,7,4,0,2,5,1
Cell_0186,2,10,2,0,0,1,4,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,4,3,6,1,0,2,5,3
Cell_0187,6,10,4,0,1,11,5,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,9,5,7,1,1,1,2,4
Cell_0188,2,5,5,0,0,6,9,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,5,2,2,2
Cell_0189,4,4,9,1,0,11,4,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,9,2,1,2,5,4,1
Cell_0190,3,4,5,0,0,5,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,3,2,0,0,0,4
Cell_0191,7,3,10,0,0,6,4,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,5,2,1,2,1,3,4,5
Cell_0192,4,5,2,0,0,5,5,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,6,1,4,0,3,0,1,1
Cell_0193,4,6,5,2,0,5,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,3,3,1,3,3,3,2
Cell_0194,1,6,6,0,0,7,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,7,2,3,3,0,1,1
Cell_0195,7,7,5,1,0,5,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5,6,1,3,1,2,3
Cell_0196,3,4,5,0,0,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,3,1,1,1,1,2
Cell_0197,5,3,8,0,0,3,6,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,4,3,4,4,2,1,4,3
