cell_id,cell_type
Cell_0183,T_cell
Cell_0184,T_cell
Cell_0185,T_cell
Cell_0186,T_cell
Cell_0187,T_cell
Cell_0188,T_cell
Cell_0189,T_cell
Cell_0190,T_cell
Cell_0191,T_cell
Cell_0192,T_cell
Cell_0193,T_cell
Cell_0194,T_cell
Cell_0195,T_cell
Cell_0196,T_cell
Cell_0197,Monocyte
Cell_0198,Monocyte
Cell_0199,T_cell
Cell_0200,T_cell
Cell_0201,T_cell
Cell_0202,T_cell
Cell_0203,T_cell
Cell_0204,T_cell
Cell_0205,T_cell
Cell_0206,T_cell
Cell_0207,T_cell
Cell_0208,T_cell
Cell_0209,T_cell
Cell_0210,Monocyte
Cell_0211,T_cell
Cell_0212,T_cell
Cell_0213,T_cell
Cell_0214,T_cell
Cell_0215,T_cell
Cell_0216,T_cell
Cell_0217,T_cell
Cell_0218,T_cell
Cell_0219,B_cell
Cell_0220,T_cell
Cell_0221,T_cell
Cell_0222,T_cell
Cell_0223,T_cell
Cell_0224,T_cell
Cell_0225,B_cell
Cell_0226,T_cell
Cell_0227,T_cell
Cell_0228,T_cell
Cell_0229,Monocyte
Cell_0230,T_cell
Cell_0231,T_cell
Cell_0232,T_cell
Cell_0233,T_cell
Cell_0234,T_cell
Cell_0235,T_cell
Cell_0236,T_cell
Cell_0237,T_cell
Cell_0238,B_cell
Cell_0239,T_cell
Cell_0240,T_cell
Cell_0241,T_cell
Cell_0242,T_cell
Cell_0243,Monocyte
Cell_0244,T_cell
Cell_0245,T_cell
Cell_0246,T_cell
Cell_0247,T_cell
Cell_0248,T_cell
Cell_0249,T_cell
Cell_0250,T_cell
Cell_0251,T_cell
Cell_0252,T_cell
Cell_0253,T_cell
Cell_0254,T_cell
Cell_0255,T_cell
Cell_0256,T_cell
Cell_0257,T_cell
Cell_0258,T_cell
Cell_0259,T_cell
Cell_0260,T_cell
Cell_0261,T_cell
Cell_0262,T_cell
Cell_0263,T_cell
Cell_0264,T_cell
Cell_0265,T_cell
Cell_0266,T_cell
Cell_0267,T_cell
Cell_0268,T_cell
Cell_0269,T_cell
Cell_0270,T_cell
Cell_0271,T_cell
Cell_0272,T_cell
Cell_0273,T_cell
Cell_0274,T_cell
Cell_0275,T_cell
Cell_0276,T_cell
Cell_0277,T_cell
Cell_0278,T_cell
Cell_0279,T_cell
Cell_0280,T_cell
Cell_0281,T_cell
Cell_0282,B_cell
Cell_0283,T_cell
Cell_0284,Monocyte
Cell_0285,T_cell
Cell_0286,T_cell
Cell_0287,T_cell
Cell_0288,T_cell
Cell_0289,T_cell
Cell_0290,T_cell
Cell_0291,T_cell
Cell_0292,T_cell
Cell_0293,T_cell
Cell_0294,T_cell
Cell_0295,T_cell
Cell_0296,T_cell
Cell_0297,T_cell
Cell_0298,T_cell
Cell_0299,T_cell
Cell_0300,T_cell
Cell_0301,T_cell
Cell_0302,T_cell
Cell_0303,T_cell
Cell_0304,T_cell
Cell_0305,T_cell
Cell_0306,T_cell
Cell_0307,T_cell
Cell_0308,T_cell
Cell_0309,T_cell
Cell_0310,T_cell
Cell_0311,T_cell
Cell_0312,T_cell
Cell_0313,T_cell
Cell_0314,T_cell
Cell_0315,T_cell
Cell_0316,T_cell
Cell_0317,T_cell
Cell_0318,T_cell
Cell_0319,T_cell
Cell_0320,T_cell
Cell_0321,T_cell
Cell_0322,B_cell
Cell_0323,T_cell
Cell_0324,T_cell
Cell_0325,B_cell
Cell_0326,T_cell
Cell_0327,T_cell
Cell_0328,Monocyte
Cell_0329,T_cell
Cell_0330,T_cell
Cell_0331,T_cell
Cell_0332,B_cell
Cell_0333,T_cell
Cell_0334,T_cell
Cell_0335,T_cell
Cell_0336,T_cell
Cell_0337,T_cell
Cell_0338,T_cell
Cell_0339,T_cell
Cell_0340,T_cell
Cell_0341,T_cell
Cell_0342,T_cell
Cell_0343,T_cell
Cell_0344,T_cell
Cell_0345,T_cell
Cell_0346,T_cell
Cell_0347,T_cell
Cell_0348,T_cell
Cell_0349,T_cell
Cell_0350,T_cell
Cell_0351,T_cell
Cell_0352,T_cell
Cell_0353,T_cell
Cell_0354,B_cell
Cell_0355,T_cell
Cell_0356,T_cell
Cell_0357,T_cell
Cell_0358,B_cell
Cell_0359,T_cell
Cell_0360,T_cell
Cell_0361,T_cell
Cell_0362,T_cell
Cell_0363,T_cell
Cell_0364,T_cell
Cell_0365,T_cell
Cell_0366,T_cell
Cell_0367,T_cell
Cell_0368,T_cell
Cell_0369,T_cell
Cell_0370,B_cell
Cell_0371,B_cell
Cell_0372,B_cell
Cell_0373,B_cell
Cell_0374,B_cell
Cell_0375,B_cell
Cell_0376,B_cell
Cell_0377,B_cell
Cell_0378,B_cell
Cell_0379,B_cell
Cell_0380,B_cell
Cell_0381,B_cell
Cell_0382,B_cell
Cell_0383,B_cell
Cell_0384,B_cell
Cell_0385,B_cell
Cell_0386,B_cell
Cell_0387,B_cell
Cell_0388,B_cell
Cell_0389,B_cell
Cell_0390,B_cell
Cell_0391,B_cell
Cell_0392,B_cell
Cell_0393,B_cell
Cell_0394,B_cell
Cell_0395,B_cell
Cell_0396,B_cell
Cell_0397,B_cell
Cell_0398,B_cell
Cell_0399,B_cell
Cell_0400,Monocyte
Cell_0401,B_cell
Cell_0402,B_cell
Cell_0403,B_cell
Cell_0404,B_cell
Cell_0405,B_cell
Cell_0406,B_cell
Cell_0407,B_cell
Cell_0408,B_cell
Cell_0409,B_cell
Cell_0410,B_cell
Cell_0411,B_cell
Cell_0412,B_cell
Cell_0413,B_cell
Cell_0414,B_cell
Cell_0415,B_cell
Cell_0416,B_cell
Cell_0417,B_cell
Cell_0418,B_cell
Cell_0419,B_cell
Cell_0420,B_cell
Cell_0421,B_cell
Cell_0422,B_cell
Cell_0423,Monocyte
Cell_0424,B_cell
Cell_0425,B_cell
Cell_0426,B_cell
Cell_0427,B_cell
Cell_0428,B_cell
Cell_0429,B_cell
Cell_0430,B_cell
Cell_0431,B_cell
Cell_0432,B_cell
Cell_0433,B_cell
Cell_0434,B_cell
Cell_0435,B_cell
Cell_0436,B_cell
Cell_0437,B_cell
Cell_0438,B_cell
Cell_0439,B_cell
Cell_0440,B_cell
Cell_0441,B_cell
Cell_0442,B_cell
Cell_0443,B_cell
Cell_0444,B_cell
Cell_0445,B_cell
Cell_0446,B_cell
Cell_0447,B_cell
Cell_0448,B_cell
Cell_0449,B_cell
Cell_0450,B_cell
Cell_0451,B_cell
Cell_0452,B_cell
Cell_0453,B_cell
Cell_0454,B_cell
Cell_0455,B_cell
Cell_0456,B_cell
Cell_0457,B_cell
Cell_0458,B_cell
Cell_0459,B_cell
Cell_0460,B_cell
Cell_0461,B_cell
Cell_0462,B_cell
Cell_0463,B_cell
Cell_0464,B_cell
Cell_0465,B_cell
Cell_0466,B_cell
Cell_0467,B_cell
Cell_0468,B_cell
Cell_0469,B_cell
Cell_0470,B_cell
Cell_0471,B_cell
Cell_0472,B_cell
Cell_0473,B_cell
Cell_0474,B_cell
Cell_0475,B_cell
Cell_0476,B_cell
Cell_0477,B_cell
Cell_0478,B_cell
Cell_0479,B_cell
Cell_0480,B_cell
Cell_0481,B_cell
Cell_0482,B_cell
Cell_0483,B_cell
Cell_0484,B_cell
Cell_0485,B_cell
Cell_0486,B_cell
Cell_0487,B_cell
Cell_0488,B_cell
Cell_0489,B_cell
Cell_0490,B_cell
Cell_0491,B_cell
Cell_0492,B_cell
Cell_0493,B_cell
Cell_0494,B_cell
Cell_0495,B_cell
Cell_0496,B_cell
Cell_0497,B_cell
Cell_0498,B_cell
Cell_0499,B_cell
Cell_0500,B_cell
Cell_0501,B_cell
Cell_0502,Monocyte
Cell_0503,B_cell
Cell_0504,B_cell
Cell_0505,B_cell
Cell_0506,B_cell
Cell_0507,T_cell
Cell_0508,B_cell
Cell_0509,B_cell
Cell_0510,B_cell
Cell_0511,B_cell
Cell_0512,B_cell
Cell_0513,B_cell
Cell_0514,B_cell
Cell_0515,B_cell
Cell_0516,B_cell
Cell_0517,B_cell
Cell_0518,B_cell
Cell_0519,B_cell
Cell_0520,B_cell
Cell_0521,B_cell
Cell_0522,B_cell
Cell_0523,B_cell
Cell_0524,B_cell
Cell_0525,B_cell
Cell_0526,B_cell
Cell_0527,B_cell
Cell_0528,B_cell
Cell_0529,B_cell
Cell_0530,B_cell
Cell_0531,B_cell
Cell_0532,B_cell
Cell_0533,B_cell
Cell_0534,B_cell
Cell_0535,Monocyte
Cell_0536,B_cell
Cell_0537,B_cell
Cell_0538,B_cell
Cell_0539,B_cell
Cell_0540,B_cell
Cell_0541,B_cell
Cell_0542,B_cell
Cell_0543,Monocyte
Cell_0544,Monocyte
Cell_0545,B_cell
Cell_0546,Monocyte
Cell_0547,B_cell
Cell_0548,B_cell
Cell_0549,B_cell
Cell_0550,B_cell
Cell_0551,B_cell
Cell_0552,T_cell
Cell_0553,B_cell
Cell_0554,B_cell
Cell_0555,B_cell
Cell_0556,B_cell
Cell_0557,B_cell
Cell_0558,B_cell
Cell_0559,B_cell
Cell_0560,B_cell
Cell_0561,T_cell
Cell_0562,B_cell
Cell_0563,B_cell
Cell_0564,B_cell
Cell_0565,B_cell
Cell_0566,B_cell
Cell_0567,B_cell
Cell_0568,B_cell
Cell_0569,B_cell
Cell_0570,B_cell
Cell_0571,B_cell
Cell_0572,B_cell
Cell_0573,B_cell
Cell_0574,B_cell
Cell_0575,B_cell
Cell_0576,B_cell
Cell_0577,B_cell
Cell_0578,B_cell
Cell_0579,B_cell
Cell_0580,B_cell
Cell_0581,B_cell
Cell_0582,B_cell
Cell_0583,B_cell
Cell_0584,B_cell
Cell_0585,Monocyte
Cell_0586,B_cell
Cell_0587,B_cell
Cell_0588,B_cell
Cell_0589,B_cell
Cell_0590,Monocyte
Cell_0591,B_cell
Cell_0592,B_cell
Cell_0593,B_cell
Cell_0594,B_cell
Cell_0595,B_cell
Cell_0596,B_cell
Cell_0597,B_cell
Cell_0598,B_cell
Cell_0599,B_cell
Cell_0600,B_cell
Cell_0601,B_cell
Cell_0602,B_cell
Cell_0603,B_cell
Cell_0604,B_cell
Cell_0605,B_cell
Cell_0606,B_cell
Cell_0607,B_cell
Cell_0608,B_cell
Cell_0609,B_cell
Cell_0610,Monocyte
Cell_0611,Monocyte
Cell_0612,Monocyte
Cell_0613,Monocyte
Cell_0614,Monocyte
Cell_0615,Monocyte
Cell_0616,Monocyte
Cell_0617,Monocyte
Cell_0618,Monocyte
Cell_0619,Monocyte
Cell_0620,Monocyte
Cell_0621,Monocyte
Cell_0622,Monocyte
Cell_0623,Monocyte
Cell_0624,Monocyte
Cell_0625,Monocyte
Cell_0626,Monocyte
Cell_0627,Monocyte
Cell_0628,Monocyte
Cell_0629,Monocyte
Cell_0630,Monocyte
Cell_0631,Monocyte
Cell_0632,Monocyte
Cell_0633,Monocyte
Cell_0634,Monocyte
Cell_0635,Monocyte
Cell_0636,Monocyte
Cell_0637,Monocyte
Cell_0638,Monocyte
Cell_0639,Monocyte
Cell_0640,Monocyte
Cell_0641,Monocyte
Cell_0642,Monocyte
Cell_0643,Monocyte
Cell_0644,Monocyte
Cell_0645,Monocyte
Cell_0646,Monocyte
Cell_0647,T_cell
Cell_0648,Monocyte
Cell_0649,Monocyte
Cell_0650,Monocyte
Cell_0651,Monocyte
Cell_0652,Monocyte
Cell_0653,Monocyte
Cell_0654,Monocyte
Cell_0655,Monocyte
Cell_0656,Monocyte
Cell_0657,Monocyte
Cell_0658,Monocyte
Cell_0659,Monocyte
Cell_0660,Monocyte
Cell_0661,Monocyte
Cell_0662,Monocyte
Cell_0663,Monocyte
Cell_0664,Monocyte
Cell_0665,Monocyte
Cell_0666,Monocyte
Cell_0667,Monocyte
Cell_0668,Monocyte
Cell_0669,Monocyte
Cell_0670,Monocyte
Cell_0671,Monocyte
Cell_0672,Monocyte
Cell_0673,Monocyte
Cell_0674,Monocyte
Cell_0675,Monocyte
Cell_0676,Monocyte
Cell_0677,Monocyte
Cell_0678,Monocyte
Cell_0679,Monocyte
Cell_0680,Monocyte
Cell_0681,Monocyte
Cell_0682,Monocyte
Cell_0683,Monocyte
Cell_0684,Monocyte
Cell_0685,Monocyte
Cell_0686,B_cell
Cell_0687,Monocyte
Cell_0688,Monocyte
Cell_0689,Monocyte
Cell_0690,Monocyte
Cell_0691,Monocyte
Cell_0692,Monocyte
Cell_0693,T_cell
Cell_0694,Monocyte
Cell_0695,Monocyte
Cell_0696,Monocyte
Cell_0697,Monocyte
Cell_0698,Monocyte
Cell_0699,Monocyte
Cell_0700,Monocyte
Cell_0701,Monocyte
Cell_0702,Monocyte
Cell_0703,Monocyte
Cell_0704,Monocyte
Cell_0705,Monocyte
Cell_0706,Monocyte
Cell_0707,Monocyte
Cell_0708,Monocyte
Cell_0709,Monocyte
Cell_0710,Monocyte
Cell_0711,Monocyte
Cell_0712,Monocyte
Cell_0713,Monocyte
Cell_0714,Monocyte
Cell_0715,Monocyte
Cell_0716,Monocyte
Cell_0717,Monocyte
Cell_0718,Monocyte
Cell_0719,Monocyte
Cell_0720,Monocyte
Cell_0721,Monocyte
Cell_0722,Monocyte
Cell_0723,Monocyte
Cell_0724,Monocyte
Cell_0725,B_cell
Cell_0726,Monocyte
Cell_0727,Monocyte
Cell_0728,Monocyte
Cell_0729,Monocyte
Cell_0730,Monocyte
Cell_0731,Monocyte
Cell_0732,Monocyte
Cell_0733,Monocyte
Cell_0734,Monocyte
Cell_0735,Monocyte
Cell_0736,Monocyte
Cell_0737,Monocyte
Cell_0738,Monocyte
Cell_0739,Monocyte
Cell_0740,Monocyte
Cell_0741,Monocyte
Cell_0742,Monocyte
Cell_0743,T_cell
Cell_0744,Monocyte
Cell_0745,Monocyte
Cell_0746,Monocyte
Cell_0747,Monocyte
Cell_0748,Monocyte
Cell_0749,Monocyte
Cell_0750,Monocyte
Cell_0751,Monocyte
Cell_0752,Monocyte
Cell_0753,Monocyte
Cell_0754,Monocyte
Cell_0755,Monocyte
Cell_0756,Monocyte
Cell_0757,Monocyte
Cell_0758,Monocyte
Cell_0759,Monocyte
Cell_0760,Monocyte
Cell_0761,Monocyte
Cell_0762,Monocyte
Cell_0763,Monocyte
Cell_0764,Monocyte
Cell_0765,Monocyte
Cell_0766,Monocyte
Cell_0767,Monocyte
Cell_0768,Monocyte
Cell_0769,Monocyte
Cell_0770,Monocyte
Cell_0771,Monocyte
Cell_0772,Monocyte
Cell_0773,Monocyte
Cell_0774,Monocyte
Cell_0775,Monocyte
Cell_0776,Monocyte
Cell_0777,Monocyte
Cell_0778,Monocyte
Cell_0779,Monocyte
Cell_0780,Monocyte
Cell_0781,Monocyte
Cell_0782,Monocyte
Cell_0783,Monocyte
Cell_0784,Monocyte
Cell_0785,Monocyte
Cell_0786,Monocyte
Cell_0787,T_cell
Cell_0788,Monocyte
Cell_0789,Monocyte
Cell_0790,Monocyte
Cell_0791,Monocyte
Cell_0792,Monocyte
Cell_0793,Monocyte
Cell_0794,Monocyte
Cell_0795,Monocyte
Cell_0796,Monocyte
Cell_0797,Monocyte
Cell_0798,Monocyte
Cell_0799,Monocyte
Cell_0800,Monocyte
Cell_0801,Monocyte
Cell_0802,Monocyte
Cell_0803,Monocyte
Cell_0804,Monocyte
Cell_0805,Monocyte
Cell_0806,Monocyte
Cell_0807,Monocyte
Cell_0808,Monocyte
Cell_0809,Monocyte
Cell_0810,B_cell
Cell_0811,B_cell
Cell_0812,Monocyte
Cell_0813,Monocyte
Cell_0814,Monocyte
Cell_0815,Monocyte
Cell_0816,Monocyte
Cell_0817,Monocyte
Cell_0818,Monocyte
Cell_0819,Monocyte
Cell_0820,Monocyte
Cell_0821,Monocyte
Cell_0822,Monocyte
Cell_0823,Monocyte
Cell_0824,Monocyte
Cell_0825,Monocyte
Cell_0826,Monocyte
Cell_0827,Monocyte
Cell_0828,Monocyte
Cell_0829,Monocyte
Cell_0830,Monocyte
Cell_0831,Monocyte
Cell_0832,Monocyte
Cell_0833,Monocyte
Cell_0834,Monocyte
Cell_0835,Monocyte
Cell_0836,Monocyte
Cell_0837,Monocyte
Cell_0838,Monocyte
Cell_0839,Monocyte
Cell_0840,Monocyte
Cell_0841,Monocyte
Cell_0842,Monocyte
Cell_0843,Monocyte
Cell_0844,Monocyte
Cell_0845,Monocyte
Cell_0846,T_cell
Cell_0847,Monocyte
Cell_0848,T_cell
Cell_0849,Monocyte
Cell_0850,Monocyte
Cell_0851,Monocyte
Cell_0852,Monocyte
Cell_0853,Monocyte
Cell_0854,Monocyte
Cell_0855,Monocyte
Cell_0856,Monocyte
Cell_0857,T_cell
Cell_0858,Monocyte
Cell_0859,Monocyte
Cell_0860,B_cell
Cell_0861,B_cell
Cell_0862,T_cell
Cell_0863,B_cell
Cell_0864,B_cell
Cell_0865,T_cell
Cell_0866,Monocyte
Cell_0867,B_cell
Cell_0868,T_cell
Cell_0869,T_cell
Cell_0870,B_cell
Cell_0871,B_cell
Cell_0872,B_cell
Cell_0873,T_cell
Cell_0874,Monocyte
Cell_0875,Monocyte
Cell_0876,B_cell
Cell_0877,T_cell
Cell_0878,Monocyte
Cell_0879,B_cell
Cell_0880,B_cell
Cell_0881,T_cell
Cell_0882,T_cell
Cell_0883,Monocyte
Cell_0884,T_cell
Cell_0885,T_cell
Cell_0886,T_cell
Cell_0887,T_cell
Cell_0888,Monocyte
Cell_0889,T_cell
Cell_0890,B_cell
Cell_0891,T_cell
Cell_0892,T_cell
Cell_0893,B_cell
Cell_0894,B_cell
Cell_0895,Monocyte
Cell_0896,T_cell
Cell_0897,B_cell
Cell_0898,Monocyte
Cell_0899,T_cell
Cell_0900,Monocyte
Cell_0901,T_cell
Cell_0902,T_cell
Cell_0903,B_cell
Cell_0904,B_cell
Cell_0905,Monocyte
Cell_0906,Monocyte
Cell_0907,T_cell
Cell_0908,T_cell
Cell_0909,B_cell
Cell_0910,T_cell
Cell_0911,T_cell
Cell_0912,B_cell
Cell_0913,T_cell
Cell_0914,Monocyte
Cell_0915,T_cell
Cell_0916,T_cell
Cell_0917,B_cell
Cell_0918,Monocyte
Cell_0919,Monocyte
